app_lang_sign	en	pl	de	es	pt	fr	it	tr	id	th	ja	ko	zh	ar	ru	uk	vi	hi	bn	ur	ms	sw	he	el	nl	sv	ro	hu	cs	sk	sr	bg
title_activity_about	About application	O aplikacji	Über die Anwendung	Acerca de la aplicación	Sobre o aplicativo	À propos de la candidature	Informazioni sull\'applicazione	Başvuru hakkında	Tentang aplikasi	เกี่ยวกับการสมัคร	アプリケーションについて	신청에 대해	关于申请	حول التطبيق	О приложении	Про застосування	Về ứng dụng	आवेदन के बारे में	আবেদন সম্পর্কে	درخواست کے بارے میں	Mengenai aplikasi	Kuhusu programu	אודות היישום	Σχετικά με την εφαρμογή	Over de applicatie	Om applikationen	Despre aplicație	Az alkalmazásról	O aplikaci	O aplikácii	O aplikaciji	За приложението
permission_granted	Permission Granted	Uprawnienie przydzielone	Erlaubnis erteilt	Permiso concedido	Permissão garantida	Permission accordée	Permesso accordato	İzin verildi	Izin diberikan	ได้รับอนุญาต	許可が与えられました	허가가 부여되었습니다	许可授予	تم تأمين التصريح	Разрешение получено	Дозвіл надано	Đã được cho phép	की अनुमति दी	অনুমতি দেওয়া	اجازت مل گئی۔	Kebenaran Diberikan	Ruhusa Imetolewa	ההרשאה ניתנה	Άδεια χορηγήθηκε	Toestemming Verleend	Tillstånd beviljat	Permisiune Acordată	Engedély megadva	Povolení uděleno	Povolenie udelené	Dozvola odobrena	Разрешението е дадено
permission_denied	Permission Denied	Uprawnienie zablokowane	Zugriff verweigert	Permiso denegado	Permissão negada	Permission refusée	Permesso negato	İzin reddedildi	Izin ditolak	การอนุญาตถูกปฏิเสธ	許可が拒否されました	권한이 거부되었습니다	没有权限	تم رفض الإذن	Доступ запрещен	У дозволі відмовлено	Quyền bị từ chối	अनुमति नहीं मिली	অনুমতি অস্বীকার করা হয়েছে	اجازت نہیں دی گئی	Kebenaran Dinafikan	Ruhusa Imekataliwa	ההרשאה נדחתה	Άδεια απορρίφθηκε	Toestemming Geweigerd	Tillstånd nekat	Permisiune Refuzată	Engedély megtagadva	Povolení odepřeno	Povolenie odmietnuté	Dozvola odbijena	Разрешението е отказано
exception_unknown	Unknown error	Nieznany błąd	Unbekannter Fehler	Error desconocido	Erro desconhecido	Erreur inconnue	Errore sconosciuto	Bilinmeyen hata	Kesalahan yang tidak diketahui	ข้อผิดพลาดที่ไม่รู้จัก	不明なエラー	알수없는 오류	未知错误	خطأ غير معروف	Неизвестная ошибка	Невідома помилка	Lỗi không rõ	अज्ञात त्रुटि	অজানা ত্রুটি	نامعلوم خامی	Ralat tidak diketahui	Hitilafu isiyojulikana	שגיאה לא ידועה	Άγνωστο σφάλμα	Onbekende fout	Okänt fel	Eroare necunoscută	Ismeretlen hiba	Neznámá chyba	Neznáma chyba	Nepoznata greška	Неизвестна грешка
exception_missing	Missing	Brakuje	Fehlen	Desaparecido	Ausente	Manquant	Mancante	Eksik	Hilang	หายไป	ない	없어진	丢失的	مفتقد	Отсутствующий	Відсутня	Mất tích	गुम	অনুপস্থিত	لاپتہ	Hilang	Inakosekana	חסר	Λείπει	Ontbrekend	Saknas	Lipsă	Hiányzó	Chybí	Chýba	Nedostaje	Липсва
task_success	Success	Sukces	Erfolg	Éxito	Sucesso	Succès	Successo	Başarı	Kesuksesan	ความสำเร็จ	成功	성공	成功	نجاح	Успех	Успіх	Thành công	सफलता	সফলতা	کامیابی	Berjaya	Imefanikiwa	הצלחה	Επιτυχία	Succes	Lyckades	Succes	Siker	Úspěch	Úspech	Uspeh	Успех
task_failure	Failure	Niepowodzenie	Versagen	Falla	Falha	Échec	Fallimento	Arıza	Kegagalan	ความล้มเหลว	失敗	실패	失败	فشل	Отказ	провал	Sự thất bại	असफलता	ব্যর্থতা	ناکامی	Kegagalan	Imeshindwa	כישלון	Αποτυχία	Mislukking	Misslyckades	Eșec	Hiba	Selhání	Zlyhanie	Neuspeh	Неуспех
internet_connection_missing	Check your network connection	Sprawdź połączenie sieciowe	Überprüfen Sie Ihre Netzwerkverbindung	Comprueba tu conexión de red	Verifique sua conexão de rede	Vérifiez votre connexion réseau	Controlla la tua connessione di rete	Ağ bağlantınızı kontrol edin	Periksa koneksi jaringan Anda	ตรวจสอบการเชื่อมต่อเครือข่ายของคุณ	ネットワーク接続を確認してください	네트워크 연결을 확인하세요.	检查您的网络连接	تحقق من اتصال الشبكة الخاصة بك	Проверьте подключение к сети	Перевірте підключення до мережі	Kiểm tra kết nối mạng của bạn	अपना नेटवर्क कनेक्शन जांचें	আপনার নেটওয়ার্ক সংযোগ পরীক্ষা করুন	اپنا نیٹ ورک کنکشن چیک کریں۔	Semak sambungan rangkaian anda	Angalia muunganisho wako wa mtandao	בדוק את חיבור הרשת שלך	Ελέγξτε τη σύνδεση δικτύου σας	Controleer je netwerkverbinding	Kontrollera din nätverksanslutning	Verifică-ți conexiunea la rețea	Ellenőrizd a hálózati kapcsolatot	Zkontrolujte připojení k síti	Skontrolujte pripojenie k sieti	Proverite svoju mrežnu vezu	Проверете връзката си с мрежата
dialog_application_close_question	Do you want to close application?	Czy chcesz zamknąć aplikację?	Möchten Sie die Anwendung schließen?	¿Quieres cerrar la aplicación?	Deseja fechar o aplicativo?	Voulez-vous fermer l\'application?	Vuoi chiudere l\'applicazione?	Uygulamayı kapatmak istiyor musunuz?	Apakah Anda ingin menutup aplikasi?	คุณต้องการปิดแอปพลิเคชันหรือไม่?	アプリケーションを閉じますか?	애플리케이션을 종료하시겠습니까?	您想关闭应用程序吗？	هل تريد إغلاق التطبيق؟	Вы хотите закрыть приложение?	Ви хочете закрити програму?	Bạn có muốn đóng ứng dụng?	क्या आप एप्लिकेशन बंद करना चाहते हैं?	আপনি কি অ্যাপ্লিকেশন বন্ধ করতে চান?	کیا آپ درخواست بند کرنا چاہتے ہیں؟	Adakah anda mahu menutup aplikasi?	Unataka kufunga programu?	האם ברצונך לסגור את היישום?	Θέλετε να κλείσετε την εφαρμογή;	Wil je de applicatie sluiten?	Vill du stänga applikationen?	Vrei să închizi aplicația?	Ki akarod lépni az alkalmazásból?	Chcete aplikaci zavřít?	Chcete zatvoriť aplikáciu?	Da li želite da zatvorite aplikaciju?	Искате ли да затворите приложението?
dialog_yes	Yes	Tak	Ja	Sí	Sim	Oui	SÌ	Evet	Ya	ใช่	はい	예	是的	نعم	Да	Так	Đúng	हाँ	হ্যাঁ	جی ہاں	Ya	Ndiyo	כן	Ναι	Ja	Ja	Da	Igen	Ano	Áno	Da	Да
dialog_no	No	Nie	NEIN	No	Não	Non	NO	HAYIR	TIDAK	เลขที่	いいえ	아니요	不	لا	Нет	Немає	KHÔNG	नहीं	না	نہیں	Tidak	Hapana	לא	Όχι	Nee	Nej	Nu	Nem	Ne	Nie	Ne	Не
dialog_preferences_clear_title	Restore parameters	Przywróć parametry	Parameter wiederherstellen	Restaurar parámetros	Restaurar parâmetros	Restaurer les paramètres	Ripristinare i parametri	Parametreleri geri yükle	Kembalikan parameter	คืนค่าพารามิเตอร์	パラメータを復元する	매개변수 복원	恢复参数	استعادة المعلمات	Восстановить параметры	Відновити параметри	Khôi phục thông số	पैरामीटर पुनर्स्थापित करें	পরামিতি পুনরুদ্ধার করুন	پیرامیٹرز کو بحال کریں۔	Pulihkan parameter	Rejesha vigezo	שחזר פרמטרים	Επαναφορά παραμέτρων	Parameters herstellen	Återställ parametrar	Restabilește parametrii	Paraméterek visszaállítása	Obnovit parametry	Obnoviť parametre	Vratite parametre	Възстановяване на параметрите
dialog_preferences_clear_question	Do you want to restore the default parameters?	Czy chcesz przywrócić domyślne parametry?	Möchten Sie die Standardparameter wiederherstellen?	¿Quieres restaurar los parámetros predeterminados?	Deseja restaurar os parâmetros padrão?	Voulez-vous restaurer les paramètres par défaut?	Vuoi ripristinare i parametri predefiniti?	Varsayılan parametreleri geri yüklemek istiyor musunuz?	Apakah Anda ingin mengembalikan parameter default?	คุณต้องการกู้คืนพารามิเตอร์เริ่มต้นหรือไม่	デフォルトのパラメータを復元しますか?	기본 매개변수를 복원하시겠습니까?	您想恢复默认参数吗？	هل تريد استعادة المعلمات الافتراضية؟	Хотите восстановить параметры по умолчанию?	Бажаєте відновити параметри за замовчуванням?	Bạn có muốn khôi phục các thông số mặc định không?	क्या आप डिफ़ॉल्ट पैरामीटर पुनर्स्थापित करना चाहते हैं?	আপনি কি ডিফল্ট পরামিতি পুনরুদ্ধার করতে চান?	کیا آپ ڈیفالٹ پیرامیٹرز کو بحال کرنا چاہتے ہیں؟	Adakah anda mahu memulihkan parameter lalai?	Unataka kurejesha vigezo chaguo-msingi?	האם ברצונך לשחזר את פרמטרי ברירת המחדל?	Θέλετε να επαναφέρετε τις προεπιλεγμένες παραμέτρους;	Wil je de standaardparameters herstellen?	Vill du återställa standardparametrarna?	Vrei să restabilești parametrii impliciti?	Vissza akarod állítani az alapértelmezett paramétereket?	Chcete obnovit výchozí parametry?	Chcete obnoviť predvolené parametre?	Da li želite da vratite podrazumevane parametre?	Искате ли да възстановите настройките по подразбиране?
